name,logo,category,address,description,site_web,size,twitter,linkedin,facebook,youtube
Sarl Plombex,https://www.emploitic.com/attachments/company_logo/logo_5186418.jpg,Services,"Rue sétif N°01 B Section N°28 ilot n°40 Rez de chaussée local B, Mohammadia, , Alger, Algérie",,,PME/PMI,,,,
General Oil Services,https://www.emploitic.com/attachments/company_logo/logo_4764852.jpg,"Energie, Mines, Matière première","Boulvard colonel amirouche lot A5 bt B02 n 07ALGER (DZ)BORDJ EL kiffan , Alger, Algérie",,,Grande entreprise,,,,
Sétif Medic,https://www.emploitic.com/attachments/company_logo/logo_5185391.jpg,Industries,"Nouvelle extension de la zone industrielle section 20 groupe 81 lots 36, , Setif, Algérie",,,Grande entreprise,,,,
ADAMING ALGERIE,https://www.emploitic.com/attachments/company_logo/logo_5197120.jpg,Services,"Tour KPMG Lot 94 Centre des affaires Bab Ezzouar, Alger, Algérie","Crée en 2010, le Groupe Adaming est une Entreprise de Services Numériques spécialisée dans le conseil, la formation et l’ingénierie. Au travers de son implantation en France (Paris, Lille, Nantes, Toulouse, Lyon, Strasbourg) et à l’étranger (Barcelone, Alger, Casablanca, Tunis), le Groupe accompagne la transformation digitale des Entreprises. Nos clients sont de Grands Comptes de renommée internationale qui opèrent dans différents secteurs : Banque, Assurances, Finance, Santé, Télécoms, secteur public, etc. 
Notre ambition est de recruter et faire évoluer les meilleurs talents pour répondre aux besoins de ces entreprises.",,Grande entreprise,,,,
SARL ZDF Ascenseurs,https://www.emploitic.com/attachments/company_logo/logo_4642202.jpg,Industries,"Cité El Hidhab CAP Centre Multi Services, Lot 03/06 N° 03, , Setif, Algérie","La SARL ZDF Ascenseurs Une entreprise spécialisé dans l'étude ,
Vente , installation, et maintenance des ASCENSEURS sis à Sétif.",http://zdf-ascenseurs.com/,Grande entreprise,,,https://www.facebook.com/zdfascenseurs,
Nuba Tek,https://www.emploitic.com/attachments/company_logo/logo_5247480.jpg,"Informatique, Télécom, Internet","36 chemin Sidi Yahia lot numéro 4, 1er étage Hydra, ,, Alger, Algérie","Nuba Tek est une société de conseil et de développement informatique basée en France.
Nous développons une expertise de pointe autour de la data, dans les domaines de la data science et de l’intelligence artificielle en passant par les technologies du big data, tout en s’appropriant cet outil devenu indispensable de nos jours qui est le cloud.",http://www.nuba-tek.com/,Multinationale,,,,
casatex,https://www.emploitic.com/attachments/company_logo/logo_4626644.jpg,Services,"ORAN, Algérie",,,PME/PMI,,,,
Kom Diversion,https://www.emploitic.com/attachments/company_logo/logo_5258424.jpg,Services,"Lotissement 11 Décembre Villa N°01, Dely Ibrahim, Alger, Algérie","KOM Diversion est une société spécialisée dans la communication
événementielle. Notre expertise repose sur la création et
l’organisation de tout type d’évènement: privé, corporatif,
organisation de voyage, etc. Nous réalisons des prestations de
qualité dans une recherche constante de la satisfaction du client.
Nous mettons à votre disposition tout notre savoir faire et toutes
nos compétences pour vous fournir des prestations de qualité.",,PME/PMI,,,,
Pharmacie / Parapharmacie ABDALLAH ABD ASSAMAD,https://www.emploitic.com/attachments/company_logo/logo_5054220.jpg,"Distribution, Commerce","47 Av. Colonel Lotfi, Bab El Oued, Alger, Algérie",,,PME/PMI,,,,
Imetal,https://www.emploitic.com/attachments/company_logo/logo_5149677.jpg,Services,"site sider hydra, Hydra, Alger, Algérie",,,Grande entreprise,,,,
sadeem informatique,https://www.emploitic.com/attachments/company_logo/logo_5266408.jpg,"Informatique, Télécom, Internet",", Alger, Algérie","SADEEM INFORMATIQUE SARL, spécialisée dans les domaines du développement web & application mobile (ANDROID et iOS) et des systèmes d’information, des réseaux et des télécommunications, apporte des solutions pour répondre aux besoins des PME PMI. 

Nous intervenons également à la demande pour des besoins ponctuels. 

Nos domaines d’interventions:
- Développement des siteweb et des applications mobile (ANDROID & iOS)
- Développement de solutions logicielles dédiées à votre activité (Odoo, ....)
- Sécurité et instalation Réseaux
- Administration systèmes (Microsoft Windows, Linux, Mac OS, Citrix)
- Messagerie (Exchange, ....) 
- Audit, diagnostic et préconisations 
- Gestion du parc informatique et télécom 
- Maintenance logiciel et matérielle 
- Intégration des nouvelles technologies 
- Gestion des relations fournisseurs 
- Formation, assistance aux utilisateurs 
- Veille technologique, conseil 
- Virtualisation (VMware, Hyper-V) 
- Conduite de projets 
- Accompagnement informatique des commissaires aux comptes 
 
Nos engagements:
- Le conseil et l’expertise 
- L’écoute 
- La réactivité 
- La souplesse 
- Le professionnalisme 
- La confidentialité",https://sadeeminfo.com/,PME/PMI,,https://www.linkedin.com/company/sadeem-informatique/,https://web.facebook.com/sadeem.informatique,
medisec,https://www.emploitic.com/attachments/company_logo/logo_5023638.jpg,Services,"ORAN, Oran, Algérie",,,PME/PMI,,,,
Beyn,https://www.emploitic.com/attachments/company_logo/logo_5180452.jpg,Services,"04 Route d’Ouled Fayet 3éme étage Zone industrielle Amara- Cheraga, ,, Alger, Algérie","La mission de BEYN est de favoriser la performance des banques et des
institutions financières en enrichissant la relation avec leurs
clients et en réduisant leurs coûts de traitement des opérations
par la transformation digitale. Notre engagement est d’apporter des
solutions digitales innovantes, robustes et évolutives dans un délai
court. Nos clients tirent ainsi pleinement tout le potentiel de la
digitalisation. BEYN est un groupe international présent en Europe,
en Afrique du Nord et en Afrique de l’Ouest. BEYN a été
sélectionné parmi les 10 meilleurs fournisseurs de solution de
banque digitale par Banking CIO Outlook en 2020. Le groupe existe
depuis plus de 15 ans et dispose de positions fortes en Afrique",https://beyn.io/,PME/PMI,,https://www.linkedin.com/company/beyn/,,
Medilux,https://www.emploitic.com/attachments/company_logo/logo_4615844.jpg,Services,", Alger, Algérie",,,PME/PMI,,,,
SARL JOREL distribution,https://www.emploitic.com/attachments/company_logo/logo_4535109.jpg,Industries,"Z.activité parcs RW N°85 fraction 08 GP 92 local 06, Oran, Algérie",,,PME/PMI,,,,
Flowserve Algeria,https://www.emploitic.com/attachments/company_logo/logo_5192906.jpg,Services,"Lot N°678 Division 04 Amara Chéraga – ., Alger, Algérie","Flowserve is one of the world's largest manufacturers of pumps, valves and seals with over 15,000 employees across 50 countries. Built on more than 50 world-renowned heritage brands, the equity and customer loyalty we have earned over the past 230 years is the foundation of our leadership position across the globe. 
 
Flowserve's innovations have benefited a range of industries, including oil and gas, power, chemical, water, pharmaceuticals and food processing. Addressing these industries' challenges has made Flowserve a leader in development and application of advanced solutions for our customers. Experience, leadership and creativity are the tools we use to turn an idea into a solution.
 
Continuing to foster this kind of innovation is key to Flowserve's long-term success. Be a part of a team known for its industry-leading talent, unparalleled portfolio and unmatched commitment to customer success. We invite you to put your talents and experience in motion with Flowserve. 
 
Together, we enable the world.",http://www.flowserve.com/,Multinationale,,https://www.linkedin.com/company/flowserve/life/6aa125cf-b203-46fa-be06-323a26598f79/,,
RB SAKANI,https://www.emploitic.com/attachments/company_logo/logo_4562178.jpg,"BTP, Construction, Immobilier","tlemcen , Algérie",,,PME/PMI,,,,
RB TRADING,https://www.emploitic.com/attachments/company_logo/logo_4524739.jpg,Industries,"tlemcen , Algérie",,,PME/PMI,,,,
BBM technologie,https://www.emploitic.com/attachments/company_logo/logo_5309962.jpg,Services,", Alger, Algérie",,,PME/PMI,,,,
Ouedkniss,https://www.emploitic.com/attachments/company_logo/logo_4496105.jpg,Services,"12, Parc Ben Omar, Kouba, ., Alger, Algérie","Lancé par des jeunes amis, les fondateurs de Ouedkniss ont toujours
le souci de maintenir un management horizontal. Agile et soucieux du
bien être de tous ses collaborateurs, aujourd'hui Ouedkniss compte
près de 100 collaborateurs, aux différentes qualifications et aux
aspirations multiples. Nous développons des solutions techniques,
commerciales mais surtout humaines, jour après jour et pour tous.",https://www.ouedkniss.com/,PME/PMI,,https://www.linkedin.com/company/ouedkniss/,https://www.facebook.com/ouedkniss,
S-Training academy,https://www.emploitic.com/attachments/company_logo/logo_5104504.jpg,Services,"1Bis,Rue Didouche Mourad alger centre ., Alger, Algérie","S-Training Académie, est un établissement qui a pour secteur
d'activité l'enseignement et la formation, spécialisé dans le
domaine médical et de la santé. Nous avons dans nos mains la
possibilité d’avoir un impact réel sur la société notamment dans
le domaine des industries Biologiques, agroalimentaires et
Pharmaceutiques ainsi que les métiers de la santé. La réussite des
apprenants aux tests d'évaluation et à l’obtention des certificats
est au cœur du projet pédagogique du centre de formation. Toutes les
équipes sont mobilisées pour permettre à chacun d'acquérir les
connaissances nécessaires à son projet professionnel. Ainsi, nos
formations se veulent pertinentes, innovantes et pragmatiques en
combinant théorie et mise en application concrète.",https://www.instagram.com/strainingacademy/?hl=fr,PME/PMI,,https://dz.linkedin.com/company/strainingacademy?trk=similar-pages,,
Prainsa Cevico Algérie,https://www.emploitic.com/attachments/company_logo/logo_5010208.jpg,"BTP, Construction, Immobilier","BP 44, Mezloug, Sétif, Setif, Algérie",,,Grande entreprise,,,,
SARL MBN PARAPHARM,https://www.emploitic.com/attachments/company_logo/logo_5115667.jpg,"Distribution, Commerce","Nouvelle ville, Constantine, Algérie",,,Grande entreprise,,,,
Société de gestion des ports de pêche.,https://www.emploitic.com/attachments/company_logo/logo_4542672.jpg,Services,"07 Rue Belkacem AMANI, Hydra , Alger, Algérie",,,Entreprise publique,,,,
CWE Algeria Engineering and Construction Limited,https://www.emploitic.com/attachments/company_logo/logo_4836478.jpg,"BTP, Construction, Immobilier","bir mourad rais à coté de la daira, Bir Mourad Rais, Alger, Algérie","La EURL CWE, filiale en Algérie de « China International Water and
Electric Cop », est une société de construction et d’engineering
qui active dans les domaines de l’hydraulique, hydro-électrique,
électrique, traitement des eaux, énergies renouvelables et travaux
publics. Forte de ses 60 ans d’expérience et plaçant la qualité
au cœur de sa stratégie, CWE s’efforce d’offrir à ses clients
des services de très haute qualité dans la réalisation de diverses
infrastructures, en leur proposant des offres globales et en mettant
tout son savoir-faire et ses ressources à travers le monde au service
de ses partenaires Dotée d’une importante capacité financière et
d’une maîtrise technique avérée, CWE est capable de mener des
projets de grande envergure en prenant en charge l’investissement,
la réalisation, l’exploitation et la maintenance et ainsi mettre
toute son expérience pour accompagner le développement de l’Algérie.",,PME/PMI,,,,
SARL Amos Nord Afrique,https://www.emploitic.com/attachments/company_logo/logo_5313005.jpg,"Distribution, Commerce","Zone industrielle 1 voie 1 lot 101 es senia ORAN, Oran, Algérie",,,PME/PMI,,,https://www.facebook.com/profile.php?id=100064146004665,
VALOMAT SPA,https://www.emploitic.com/attachments/company_logo/logo_5235363.jpg,Services,"Cité Saidoune Mohamed, N° 153 Kouba, Alger, Algérie",,,Grande entreprise,,,,
Sarl House Drink,https://www.emploitic.com/attachments/company_logo/logo_5205513.jpg,Services,"alger, Alger, Algérie",,,PME/PMI,,,,
Sarl New AGRO ADDITIVE,https://www.emploitic.com/attachments/company_logo/logo_5271774.jpg,Industries,", Alger, Algérie",,,PME/PMI,,,,
Waterfil Technologie,https://www.emploitic.com/attachments/company_logo/logo_4423208.jpg,Industries,"OULED FAYET, Alger, Algérie",,,PME/PMI,,,,
UNICORP,https://www.emploitic.com/attachments/company_logo/logo_4409042.jpg,Industries,"62 Rue des fréres Zotale Birkhadem , Alger, Algérie",,,Grande entreprise,,,,
SEFAR SYSTEME,https://www.emploitic.com/attachments/company_logo/logo_5222063.jpg,"Energie, Mines, Matière première","34 groupe Debah Cherif , Alger, Algérie",,,PME/PMI,,,,
Drakkapp,https://www.emploitic.com/attachments/company_logo/logo_4805622.jpg,"Informatique, Télécom, Internet","04 rue Mohammed Abdou, el Mouradia, Alger, Algérie","Drakkapp est une agence de développement Nocode avec une équipe de
Makers passionnés. 
Concevoir son outil numérique n'a jamais été
aussi facile ! Nous travaillons avec des entreprises du monde entier
pour concevoir des sites web, des applications mobiles et web.",https://drakkapp.tech/,Multinationale,,https://www.linkedin.com/company/drakkapp-tech/about/,,
KHIDER EL Hachemi,https://www.emploitic.com/attachments/company_logo/logo_5198953.jpg,Services,"ILOT 31 COOP. CARDOUNA Birkhadem, , Alger, Algérie",,,PME/PMI,,,,
Eurl Methodia,https://www.emploitic.com/attachments/company_logo/logo_4450704.jpg,"Informatique, Télécom, Internet","Rue frères Azirou, BtA, Local N°1 Section 31 Hydra, 16035, Alger, Algérie",METHODIA est un établissement dédié à l’apprentissage des langues et au soutien scolaire pour les élèves de collège et de lycée.,https://methodia-algerie.com/,PME/PMI,,,https://web.facebook.com/MethodiaAlgerie/?_rdc=1&_rdr,
ST gaz,https://www.emploitic.com/attachments/company_logo/logo_4562198.jpg,Services,"oran, Oran, Algérie",,,PME/PMI,,,,
SPAS Prover Technology,https://www.emploitic.com/attachments/company_logo/logo_5264881.jpg,"Informatique, Télécom, Internet","Cite Sellier, 26 Coopérative Mohammed Boudiaf, Hydra, Alger, Algérie","Engineering a safer world

Trains are faster, more economical, safer and greener than cars and trucks. At Prover, we are committed to doing our part for a better world. We supply solutions for engineering the safety-critical systems that control train signals and switches.

Prover is a Swedish company with subsidiaries in the US, France, China and Algeria. It is privately owned by investors and staff, and has customers all over the world. At Prover you will find a highly intelligent team, a respectful atmosphere and cultural diversity.",,PME/PMI,,,,
HK emballage,https://www.emploitic.com/attachments/company_logo/logo_4385438.jpg,"Informatique, Télécom, Internet","nouvelle zaouia bni tamou, blida, Blida, Algérie",,,PME/PMI,,,,
Eurl Belwis,https://www.emploitic.com/attachments/company_logo/logo_4480858.jpg,Industries,"122 CITE CHAAOUA Kheraicia, (16),, Alger, Algérie",,,PME/PMI,,,,
HIGH TECH COMPASS,https://www.emploitic.com/attachments/company_logo/logo_5274853.jpg,"Informatique, Télécom, Internet","Lot 12, cité Farachati, SEC 58, bloc 03, bât 01, 6éme étage, , Bouira, Algérie",,,PME/PMI,,,,
"Algeria Facility Logistics & Transport, Sarl (AFLT Sarl)",https://www.emploitic.com/attachments/company_logo/logo_4986975.jpg,Services,"29, Rue Ahmed Chérifi, Kouba 16050 ,, Alger, Algérie",,,Grande entreprise,,,,
Agence feed,https://www.emploitic.com/attachments/company_logo/logo_4357669.jpg,Services,"C3 lot 124 ouled fayet ALGER (DZ), Alger, Algérie",,,PME/PMI,,,,
Eyes Of Community,https://www.emploitic.com/attachments/company_logo/logo_5050055.jpg,Services,"Cheraga, Alger, Algérie","Eyes of community est une agence digitale créative, composée de stratèges, designers, développeurs web, experts en identité digitale, corporate et visuelle, ou encore en marketing digital et gestion des médias sociaux. Rendre les projets de nos clients exceptionnels, c’est la devise de notre agence !",,PME/PMI,,,,
Sarl Properties management,https://www.emploitic.com/attachments/company_logo/logo_4637613.jpg,Services,"12 chemin de sidi yahia BMR, Alger, Algérie",,,PME/PMI,,,,
Algerian Startup Fund,https://www.emploitic.com/attachments/company_logo/logo_5204189.jpg,Services,"46, Boulevard Mohamed V Centre, Alger, Algérie","Crées-en Octobre 2020, Algerian Startup Fund (ASF), est une société de capital investissement, sa mission est de développer l'écosystème entrepreneuriale et l'innovation en Algérie en proposant des services de financement répondant aux besoins des startups.",https://startup.dz/asf/,Entreprise publique,,,,
Clinique du val,https://www.emploitic.com/attachments/company_logo/logo_5275527.jpg,Services,"Boulevard du 11 Decembre 1960, El Biar, Alger, Algérie","Nous disposons de formules dédiées aux entreprises. Faites
bénéficier vos collaborateurs et leurs ayants droit de multiples
avantages au sein de la clinique du Val Demandez un devis. Un business
manager vous recontactera en moins d’une (1) heure",https://clinique-du-val.com/,Grande entreprise,,,,
SARL FROIDIS REFRIGERATION,https://www.emploitic.com/attachments/company_logo/logo_4307443.jpg,"Distribution, Commerce","07 Bd khaledi mohammed, Algérie","La SARL FROIDIS REFRIGERATION (anciennement SARL COELECT) active depuis 1995 sur le territoire national, est une société leader dans le Froid Industriel et Commercial qui œuvre à proposer des solutions à son aimable clientèle de tous secteurs d'activité ayant recours au froid dans leurs processus.

Spécialisée et représentant officiel de plusieurs marques mondiales, la société assure la distribution des équipements de froid, de la régulation et aussi du contrôle industriel ; tout en délivrant des études et un accompagnement et un suivi jusqu’à la réalisation des projets.

La performance de notre équipe se résume sur son personnel expérimenté, sa rapidité et son professionnalisme dans le traitement des demandes ; elle a la qualification et les compétences pour répondre à vos attentes et satisfaire tous vos besoins en matière de froid commercial et industriel. Notre philosophie est
de réaliser des études de qualité dans une recherche constante pour un seul but : « LA SATISFACTION CLIENTÈLE",,PME/PMI,,,,
Michket,https://www.emploitic.com/attachments/company_logo/logo_4970029.jpg,"Informatique, Télécom, Internet","Draria, Algérie",Leader en fabrication de veilleuse à effet 3D et cartes du monde,http://michket-dz.com/,PME/PMI,,,https://www.facebook.com/imichket/photos/?ref=page_internal,
Algerian Austrian Automotive (AAA),https://www.emploitic.com/attachments/company_logo/logo_4986973.jpg,Industries,"09, rue Abdekrim MOKA, groupe propriété 94 lot 12, Kouba, Alger, Algérie",,,PME/PMI,,,,
Bio Lalla Meriem,https://www.emploitic.com/attachments/company_logo/logo_5040491.jpg,Industries,"Zone d'activité 1, Mesreghine ,, Oran, Algérie",,,Grande entreprise,,,,
INTELLISOLUTIONS,https://www.emploitic.com/attachments/company_logo/logo_5277956.jpg,"Informatique, Télécom, Internet","04 Coopérative Atassadi, Tahar Bouchat, BIRKHADEM – ALGER, Alger, Algérie","INTELLISOLUTIONS est une société de solutions d'ingénierie spécialisée dans La conception, Construction et exploitation des ouvrages et installations industrielles 

Vous êtes à la recherche de nouveaux challenges, vous êtes désireux de vivre un projet d’entreprise de grande envergure. Vous souhaitez faire partie de l’aventure, rejoignez-nous",,PME/PMI,,https://www.linkedin.com/company/19113583/admin/,,
DERCAVO,https://www.emploitic.com/attachments/company_logo/logo_5230225.jpg,"BTP, Construction, Immobilier","02 chemin doudou Mokhtar, Ben aknoun, Alger, Algérie","DERCAVO Plafond Tendus est le leader sur le marché algérien, riche
d'une expérience de plusieurs années dans le domaine du plafond
tendu. Le savoir-faire et la technicité dont dispose DERCAVO
permettent de répondre aux demandes les plus exigeantes et innover de
manière continuelle. DERCAVO s'investit pleinement afin d'offrir un
produit esthétique et de grande qualité et assure des plafonds 100%
recyclable et répondant aux normes internationales.",https://www.dercavo.com//,PME/PMI,,,https://web.facebook.com/PLAFONDtenduALGERIE?_rdc=1&_rdr,
SARL Hamdani Iemar,https://www.emploitic.com/attachments/company_logo/logo_5186244.jpg,"BTP, Construction, Immobilier","Alger , Algérie",,,PME/PMI,,,,
CARDINAL MARKET,https://www.emploitic.com/attachments/company_logo/logo_5064359.jpg,Services,", Alger, Algérie",,,PME/PMI,,,,
Oran Clean,https://www.emploitic.com/attachments/company_logo/logo_5075389.jpg,"Distribution, Commerce","Oran, Algérie",,,Grande entreprise,,,,
Groupe Industriel Goumidi SPA,https://www.emploitic.com/attachments/company_logo/logo_4903806.jpg,Industries,"Zone Industrielle de Oueld Yaïch, Site II N° 38 - 09102 Ouled Yaïch - Blida, Alger, Algérie","Présentation de l’entreprise : L’entreprise qui nous sert du
support, pour cette étude de cas, est une entreprise de taille
moyenne comptant en tout environ 250 salariés et ne fabriquant des
produits que sous marque propre. Le Groupe Industriel GOUMIDI (GIG)
spécialisé dans la fabrication, la commercialisation des produits
laitiers et dérivés a été crée en 1998, l’activité portée sur
le conditionnement et la commercialisation des fromages type GOUDA,
EDAM et EMMENTAL ainsi que la commercialisation de différents
produits destinés à l’industrie du fromage fondu. Puis, en 2000
l’entreprise a été orientée vers la production et la
commercialisation du fromage fondu à tartiner en portions de marque
OKID’S en adoptant une technologie internationale et des
équipements modernes et performants d’origine Allemande, Suisse et
Italienne utilisant un traitement UHT (Ultra Haute Température). En
2006, l’entreprise s’est lancée dans la fabrication et la
commercialisation de fromage à tartiner en barres sous la marque
OKID’S. Elle a également mis en place un laboratoire de contrôle
de qualité physicochimique et microbiologique (selon des normes
internationales) afin de contrôler les matières premières et les
produits finis. Le groupe a inscrit, ensuite, dans son plan d’action
2008 l’élaboration et la mise en place du système de management de
la qualité ISO 9001 version 2008 afin d’assurer une amélioration
continue de la qualité et d’instaurer une organisation pour une
meilleure gestion de la qualité. En 2009, l’entreprise a été
certifiée selon la norme ISO 9001 version 2008 au mois de mars par
l’organisme MOODY International. Enfin, le groupe GOUMIDI a
planifié pour 2010 et 2011 la mise en place de la démarche HACCP
ainsi que la certification selon le référentiel ISO 22000 version
2005 système de management de la sécurité des denrées
alimentaires.",,Grande entreprise,,,,
Sylabs,https://www.emploitic.com/attachments/company_logo/logo_4363281.jpg,Services,"08 Rue Hassani Yessad 16004 Centre, Alger, Algérie","Sylabs est un hub d'entrepreneuriat et de technologie situé à Alger Centre. Depuis 2015, nous offrons, directement ou pour le compte d’une tierce partie, des services d’accompagnement et de soutien pour les startups, les jeunes entreprises, les chercheurs d’emploi et les grandes entreprises en quête d’innovation.",http://sylabs-dz.com/,PME/PMI,https://twitter.com/SylabsDZ,https://www.linkedin.com/company/sylabs/,https://www.facebook.com/SylabsDZ/,
ECOLOGE : ingénierie et industrie des matériaux de construction,https://www.emploitic.com/attachments/company_logo/logo_4349944.jpg,Industries,"1, Bd Stiti Ali , Face Hotel 03 Roses , CP 15000 TIZI-OUZOU, Algérie",,,PME/PMI,,,,
SolutioNeed,https://www.emploitic.com/attachments/company_logo/logo_4394313.jpg,Services,"08 Rue des jardins Hydra Alger, Algérie",SolutioNeed se définit comme un acteur qui prend en charge les problématiques RH de ses partenaires et les accompagne dans leurs développements. Notre équipe d'experts RH se positionnent en tant que Conseillers qualifiés et en mesure de comprendre les besoins de leurs clients ainsi que leurs complexités afin d'y répondre en proposant des solutions pertinentes et adaptées.,http://www.solutioneed.com/,PME/PMI,,https://www.linkedin.com/in/solutioneed-cabinet-d-expertise-rh-a7a473203/,https://www.linkedin.com/in/solutioneed-cabinet-d-expertise-rh-a7a473203/?originalSubdomain=dz,
EURL sarman,https://www.emploitic.com/attachments/company_logo/logo_4276270.jpg,"Informatique, Télécom, Internet",", Oran, Algérie","EURL SARMAN FATNA: Apporteur de solutions pour le bâtiment à destination des professionnels : Matériaux de construction, quincaillerie de bâtiment, d’ameublement et d’agencement, plomberie-sanitaire, électricité, peinture",,PME/PMI,,,https://web.facebook.com/eurlsarman/?_rdc=1&_rdr,
NEBBACHE FOOD INTERNATIONAL (Fromagerie CESAR),https://www.emploitic.com/attachments/company_logo/logo_5263745.jpg,Industries,"04, ZONE D'ACTIVITE DE OUED EL KERMA, SAOULA, ALGER, Alger, Algérie",,,PME/PMI,,,,
ACS Algeria Chemical Specialities,https://www.emploitic.com/attachments/company_logo/logo_5122090.jpg,Services,"01, Rue Yahia Layachi, Hussein Dey ALGER (DZ), Alger, Algérie",,,Entreprise publique,,,,
SNC NAAS KAMEL ET ASSOCIES,https://www.emploitic.com/attachments/company_logo/logo_5163248.jpg,"BTP, Construction, Immobilier","Terre Familiale Route Wilaya N° 149 Lot N° 469 Bordj El Bahri Wilaya d’Alger, Algérie",,,Grande entreprise,,,,
ETPBH TCE BAIFOUH MOUSSA,https://www.emploitic.com/attachments/company_logo/logo_4666503.jpg,"BTP, Construction, Immobilier","Cité Hidhab CAP Centre Multiservice Rais Lot 03/06 N°03, Setif, Algérie",,,Grande entreprise,,,,
ARVEA NATURE ALGERIE,https://www.emploitic.com/attachments/company_logo/logo_4898224.jpg,"Distribution, Commerce","OULED FAYET, Alger, Algérie",,,Grande entreprise,,,,
ARVEA PRODUCT,https://www.emploitic.com/attachments/company_logo/logo_4182428.jpg,"Distribution, Commerce","OULED FAYET, Alger, Algérie",,,Grande entreprise,,,,
ARVEA INDUSTRIE,https://www.emploitic.com/attachments/company_logo/logo_4182438.jpg,"Distribution, Commerce","OULED FAYET, Alger, Algérie",,,Grande entreprise,,,,
Euro Protection Algérie,https://www.emploitic.com/attachments/company_logo/logo_4349243.jpg,"Distribution, Commerce","Cité du 1er Novembre 35440 Ouled MoussaBOUMERDES (DZ), Boumerdes, Algérie","Spécialisée dans la distribution des équipements de protection individuelle (EPI), faisant partie du groupe WORLDWIDE EURO PROTECTION, nous sommes également propriétaires des marques exclusives répondant aux standards internationaux, enregistrées auprès de l’organisation mondiale de la propriété intellectuelle (OMPI) : COVERGUARD WORKWEAR®, LUX OPTICAL®, EARLINE®, SUP AIR®, EUROTECHNIQUE®, COVERGUARD XPERT®, COVERGUARD SEASON®, COVERGUARD HIVIZ®, TOP LOCK® et COVERGUARD FOOTWEAR®. 

Nous partageons avec vous une expérience et un savoir-faire acquis au fil des années dans ce domaine. Notre politique est axée sur le développement de nos distributeurs à travers tout le territoire national.

Nous mettons à disposition des équipes qualifiées et à l’écoute, préconisant des produits adaptés aux besoins de l’utilisateur final.",https://europrotectiondz.com/,PME/PMI,,https://www.linkedin.com/company/euro-protection-algerie,https://www.facebook.com/Europrotection-algerie-185161535009771,
Serioplast,https://www.emploitic.com/attachments/company_logo/logo_5181681.jpg,Industries,"Zone Industrielle voie C, Route Nationale n°5 , section 5.BP 1 16036 Réghaia, Alger, Algérie","We are Serioplast and we are.
We are a Company focused on the production of rigid plastic packaging for the major players of the FMCG industry in the home care, personal care, food & beverage and pharma markets.",https://www.serioplast.com/,Multinationale,,https://www.linkedin.com/company/serioplast/mycompany/,,
Algeria Venture team,https://www.emploitic.com/attachments/company_logo/logo_5202371.jpg,Services,"Dounia Parc, Delly brahim, 16000 Algiers,ia, Dely Ibrahim, Alger, Algérie","Le premier accélérateur de startups public qui offre toutes les facilités pour l'innovation des entrepreneurs avec : Accès 24h/24 et 7j/7, hébergement pour jusqu'à 32 startups simultanément 72 postes de travail, une douzaine de bureaux, espace de brainstorming, ThinkTank Boxes, salle de conférence, Internet haut débit sauvegardé, Wifi , imprimantes et fax, cuisine entièrement équipée et bien plus encore.",,PME/PMI,,,,
APP,https://www.emploitic.com/attachments/company_logo/logo_5176785.jpg,Industries,"COOPERATIVE NAKHLA LOT N°75 BIR EL DJIR ORAN , Oran, Algérie",,,PME/PMI,,,,
COMPEX EMBALLAGE,https://www.emploitic.com/attachments/company_logo/logo_4639928.jpg,Industries,"Nouvelle Zone industirielle Mechta Fatima,EL Hammadia, , Bordj Bou Arreridj, Algérie",,,Grande entreprise,,,,
EURL INTERACTIVEO,https://www.emploitic.com/attachments/company_logo/logo_5264043.jpg,Services,"1 Boulevard Millénium , Oran, Algérie",,,PME/PMI,,https://www.linkedin.com/company/interactiveo1/mycompany/?viewAsMember=true,https://www.facebook.com/InteractiveoCentredappels/,
SARL Limonaderie de la Soummam,https://www.emploitic.com/attachments/company_logo/logo_5129629.jpg,"Distribution, Commerce","Tizi Senhadja Cne Smaoun . BEJAIA (DZ)BEJAIAAlgérie , Bejaia, Algérie",,,PME/PMI,,,,
Gaea Promotion,https://www.emploitic.com/attachments/company_logo/logo_5215271.jpg,"BTP, Construction, Immobilier","110 Route du Frais Vallon Chevalley Bouzareah . , Alger, Algérie","La filiale eurl GAEA Promotion Immobilière, société du groupe GAEA
Construction, créée en 2014, Spécialisée dans l’immobilier
résidentiel et commercial. Partage une culture, une qualité de
service hors pair, le goût de l’innovation et le développement
d’une expertise notoire en matière de construction. La stratégie
principale de GAEA Promotion Immobilière tourne vers l’innovation
pour créer toujours plus de valeur ajoutée. Tous les projets tendent
vers un même but : bâtir une vie meilleure. GAEA Promotion
Immobilière possède un savoir et un savoir-faire sur tous les
métiers de l'immobilier, elle acquiert cette expertise en
développant les potentiels de ses collaborateurs et en collaborant
avec des partenaires de confiance. Le marché de l’immobilier en
Algérie est en forte croissance, pour groupe GAEA, c’est un marché
stratégique. Le groupe GAEA leader en Algérie dans le domaine de la
construction, emploie actuellement plus de 1500 employés locaux et
chinois, le groupe est toujours à la recherche des nouveaux talents",http://gaeagroupe.com/about/show.php?id=13&lang=fr,Grande entreprise,,,https://fr-fr.facebook.com/GAEA.china.promotion/,
ACG sim,https://www.emploitic.com/attachments/company_logo/logo_4732316.jpg,Industries,"Cité Hamoule Ilot 64 section 13 El Kerma ORAN, Oran, Algérie",,,Grande entreprise,,,,
